timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,kinematicsX,kinematicsY,kinematicsZ,altitude,gpsFix,gpsNumSat,gpsLat,gpsLon,gpsAlt,gpsSpeed,gpsGroundCourse,voltage,amperage,mAhdrawn,rssi,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7,Debug0,Debug1,Debug2,Debug3
1468415525340,-0.24390243902439027,-0.24390243902439027,0.24390243902439027,0.0078125,-0.021484375,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525350,-0.24390243902439027,-0.24390243902439027,0.24390243902439027,0.0078125,-0.021484375,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525360,-0.48780487804878053,-0.24390243902439027,0.48780487804878053,0.009765625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525370,-0.48780487804878053,-0.24390243902439027,0.48780487804878053,0.009765625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525380,-0.7317073170731708,0.48780487804878053,0.48780487804878053,0.005859375,-0.015625,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525390,-0.7317073170731708,0,0.24390243902439027,0.001953125,-0.015625,0.9765625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525400,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.00390625,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525410,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.00390625,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525420,-0.24390243902439027,-0.24390243902439027,0.24390243902439027,0.00390625,-0.013671875,0.986328125,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525430,-0.24390243902439027,-0.24390243902439027,0.24390243902439027,0.00390625,-0.013671875,0.986328125,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525440,-0.7317073170731708,0.24390243902439027,0,0.001953125,-0.013671875,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525450,-0.7317073170731708,0.24390243902439027,0,0.001953125,-0.013671875,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525460,-1.2195121951219514,0.9756097560975611,0.48780487804878053,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525470,-1.2195121951219514,0.9756097560975611,0.48780487804878053,0.00390625,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525480,-0.48780487804878053,0.24390243902439027,0,0.001953125,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525490,-0.48780487804878053,0.24390243902439027,0,0.001953125,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525500,-0.48780487804878053,-0.48780487804878053,0.48780487804878053,0.00390625,-0.01953125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525510,-0.48780487804878053,-0.48780487804878053,0.48780487804878053,0.00390625,-0.01953125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525520,-0.7317073170731708,0.24390243902439027,0.48780487804878053,0.005859375,-0.01953125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525530,-0.7317073170731708,0.24390243902439027,0.48780487804878053,0.005859375,-0.01953125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525540,-0.7317073170731708,0,0.7317073170731708,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525550,-0.7317073170731708,0,0.7317073170731708,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525560,-0.9756097560975611,0,0.24390243902439027,0.00390625,-0.013671875,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525570,-0.9756097560975611,0,0.24390243902439027,0.00390625,-0.013671875,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525580,-0.48780487804878053,-0.24390243902439027,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525590,-0.48780487804878053,-0.24390243902439027,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525600,-0.48780487804878053,0.24390243902439027,0.9756097560975611,0.005859375,-0.015625,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525610,-0.48780487804878053,0.24390243902439027,0.9756097560975611,0.005859375,-0.015625,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525620,-0.7317073170731708,0,0.7317073170731708,0.00390625,-0.017578125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525630,-0.7317073170731708,0,0.7317073170731708,0.00390625,-0.017578125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525640,-0.7317073170731708,0,0.24390243902439027,0,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525650,-0.7317073170731708,0,0.24390243902439027,0,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525660,-0.7317073170731708,-0.24390243902439027,0,0,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525671,-0.7317073170731708,-0.24390243902439027,0,0,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525680,-0.7317073170731708,0.48780487804878053,0,0.001953125,-0.017578125,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525690,-0.7317073170731708,0.48780487804878053,0,0.001953125,-0.017578125,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525700,-0.24390243902439027,0,0.24390243902439027,0.005859375,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525710,-0.24390243902439027,0,0.24390243902439027,0.005859375,-0.017578125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525720,-0.24390243902439027,0,0.48780487804878053,0.0078125,-0.013671875,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525730,-0.24390243902439027,0,0.48780487804878053,0.0078125,-0.013671875,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525740,-0.24390243902439027,0,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525750,-0.24390243902439027,0,0.24390243902439027,0.005859375,-0.015625,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525760,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.0078125,-0.015625,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525770,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.0078125,-0.015625,0.982421875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525780,-0.24390243902439027,0,0.48780487804878053,0.005859375,-0.017578125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525790,-0.24390243902439027,0,0.48780487804878053,0.005859375,-0.017578125,0.984375,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525800,-0.7317073170731708,0.24390243902439027,0,0.00390625,-0.021484375,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525810,-0.7317073170731708,0.24390243902439027,0,0.00390625,-0.021484375,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525820,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.00390625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525830,-0.48780487804878053,0.24390243902439027,0.48780487804878053,0.00390625,-0.01953125,0.98046875,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525840,-1.4634146341463417,1.9512195121951221,0.24390243902439027,0.001953125,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525850,-1.4634146341463417,1.9512195121951221,0.24390243902439027,0.001953125,-0.015625,0.978515625,0,0,0,-1.2,-0.3,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525860,-2.9268292682926833,2.682926829268293,0.24390243902439027,0.001953125,-0.013671875,0.978515625,0,0,0,-1.2,-0.2,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525870,-2.9268292682926833,2.682926829268293,0.24390243902439027,0.001953125,-0.013671875,0.978515625,0,0,0,-1.2,-0.2,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
1468415525880,-5.609756097560976,6.829268292682928,0.48780487804878053,0.00390625,-0.013671875,0.982421875,0,0,0,-1.2,-0.2,336,0,0,0,0,0,0,0,0,0,0,0,0,1500,1500,1500,885,1500,1500,1500,1500,1000,1000,1000,1000,0,0,0,0,0,0,0,0
